no;esid;studyid;effectsize;var;binge;sreport;males;age;followup
1;5035;1;0.950826585;0.139126107;1;1;90;16;51.42856979
2;15;1;-1.651862741;0.067085341;0;0;72;14;34.2857132
3;3028;1;0.258915693;0.060215075;0;1;80;15.89999962;17.1428566
4;4086;1;0.190914467;0.036034293;0;0;82;15.30000019;34.2857132
5;1297;2;-0.247202173;0.046234448;0;0;76;16;34.2857132
6;3721;2;0.30195716;0.020227946;0;1;79;16;17.1428566
7;2768;2;0.242364183;0.033295847;0;1;66;16.89999962;51.42856979
8;2841;2;0.269546747;0.009444829;0;1;82;16;34.2857132
9;2409;3;0.387382537;0.036139041;0;1;70;16;51.42856979
10;4959;3;-0.398471236;0.032931905;0;0;75;15.5;51.42856979
11;1185;4;0.452842206;0.051564503;0;1;79;15.69999981;208.5714264
12;2522;4;-0.271548301;0.057856761;0;0;83;15.19999981;51.42856979
13;913;5;-0.070886418;0.067858674;0;1;41;18.45000076;17.1428566
14;5;5;0.816636622;0.050794918;1;1;65;18.39999962;104.5714264
15;4376;5;0.525371492;0.150762171;1;1;66;19.12999916;17.1428566
16;5505;5;0.317641258;0.039656453;1;1;89.5;17.05999947;51.42856979
17;3043;5;0.334007829;0.043146599;1;1;51;18;17.1428566
18;4342;5;-0.134081945;0.067114107;0;0;85;19.10000038;34.2857132
19;1417;5;0;0.024250438;1;1;35;19.29999924;17.1428566
20;1068;6;-0.465214431;0.16173777;0;0;77;16;104.5714264
21;710;6;0.362018377;0.07268995;0;0;82;15.39999962;34.2857132
22;3528;7;1.176043868;0.090221912;1;1;62;15.39999962;104.5714264
23;13;7;0.566977739;0.099065043;0;1;76.19999695;16.04999924;34.2857132
24;4068;7;0.282816976;0.022944927;0;0;56;17;208.5714264
25;5526;8;0.004153749;0.05012542;0;0;67;15.89999962;34.2857132
26;3442;8;0.096900612;0.057789702;0;0;71;15.39999962;34.2857132
27;356;8;-0.020446168;0.176932156;0;1;60;15.39999962;34.2857132
28;576;9;1.091028214;0.176737353;1;1;77;16.20000076;51.42856979
29;530;9;1.091028214;0.176737353;1;1;69;16.89999962;51.42856979
30;491;9;0.724698544;0.163945928;1;1;50;16;51.42856979
31;1087;9;0.829267025;0.072397366;1;1;50;16;51.42856979
32;545;9;1.270201564;0.184873298;1;1;62;17.10000038;51.42856979
33;1237;10;1.039815664;0.075676806;1;1;80;15.43000031;68.57142639
34;1793;11;-0.211120903;0.108789451;0;0;78;17;34.2857132
35;1733;12;0.149576589;0.025931364;0;1;64;19;51.42856979
36;2099;12;0;0.061553031;1;1;41;15.14000034;51.42856979
37;509;13;0.744848609;0.063855089;0;0;82;15.80000019;34.2857132
38;3859;13;-0.034580503;0.037754927;0;1;67.40000153;17.15999985;17.1428566
39;2925;14;0.844063163;0.085446268;1;1;80;15.94999981;51.42856979
40;4265;15;0.347013086;0.019760976;0;0;84;15.89999962;313.7142944
41;3786;15;0.157813311;0.089209534;0;1;72;20;17.1428566
42;900;15;-0.028918153;0.047732249;0;1;81;16;17.1428566
43;1627;15;0.743935704;0.118523963;0;1;71;16.61000061;51.42856979
44;4283;15;-0.105550244;0.211404294;0;0;50;15.39999962;34.2857132
45;938;15;1.205112219;0.089183509;1;1;77;15.39999962;34.2857132
46;3618;15;0.17650345;0.065062061;0;1;96;20;34.2857132
47;3297;15;0.438628316;0.017596249;0;1;86;16.27000046;34.2857132
48;5278;15;0.277786195;0.04507155;1;0;57;15.51000023;112
49;4730;15;-1.036182284;0.021280514;0;0;54;15.39999962;200.5714264
50;5008;15;-0.284874618;0.020202883;0;0;100;17.03000069;34.2857132
51;5291;15;0.441509426;0.097775139;0;1;47.59999847;16;17.1428566
52;3117;15;-0.029882502;0.045091134;0;1;65;16.5;34.2857132
53;195;15;-0.134236827;0.027541475;0;0;54.70000076;17.39999962;17.1428566
54;1073;15;0.077441879;0.043696571;0;1;57;15.73999977;34.2857132
55;3918;15;0.445514768;0.102731667;0;1;0;19.20000076;34.2857132
56;885;15;0.367331475;0.045752995;0;0;72;16.10000038;313.7142944
57;3698;15;0.431943923;0.128405437;0;1;76.69999695;16.39999962;51.42856979
58;947;15;0.13770847;0.013434974;1;1;46;18;17.1428566
59;402;15;1.767375469;0.214831442;1;1;0;16.05999947;34.2857132
60;304;15;1.315015078;0.194841713;1;1;62;16;34.2857132
61;4119;15;0.481691241;0.106149293;1;1;48;19;17.1428566
62;4052;15;-0.074442938;0.078014299;0;1;35;18.98999977;17.1428566
63;2897;15;-0.862986565;0.014297741;0;0;69.80000305;15.47999954;104.5714264
64;144;15;1.618591547;0.265495986;1;1;50;16;34.2857132
65;4404;15;0.211723;0.074897826;1;1;46;19.60000038;34.2857132
66;3904;15;0.454529226;0.024869366;0;1;76;16;51.42856979
67;4235;15;0.216540292;0.161194205;0;1;60;19.70000076;34.2857132
68;5272;15;-0.413202494;0.085111827;0;0;87.5;16.87999916;16
